id,value,type
emc secure remote services,0.0,1
emc rsa validation manager,0.0,1
emc documentum xcelerated management system,0.0,1
emc rsa registration manager,0.0,1
cisco asr 1001,0.0,1
newphoria corporation koritore,0.0,1
mcafee vulnerability manager,0.0,1
newphoria corporation megaphone music,0.0,1
oracle jrockit,0.0,1
ibm websphere virtual enterprise,0.0,1
ibc solar servemaster tlp%2b,0.0,1
microsoft windows server 2008,0.0,1
microsoft windows 7,0.0,1
projectsend projectsend,0.0,1
web-dorado ecommerce wd,0.0,1
vastal phpvid,0.0,1
airties rt-210,0.0,1
cisco secure access control server solution engine,0.0,1
cisco unified computing system central software,0.0,1
cisco asr 1000,0.0,1
google v8,0.0,1
e107 e107,0.0,1
brother mfc-j4410dw,0.0,1
web-dorado photo gallery,0.0,1
crea8social crea8social,0.0,1
croogo croogo,0.0,1
phpkit phpkit,0.0,1
context project context,0.0,1
f5 big-ip application security manager,0.0,1
services project services,0.0,1
microsoft windows media player,0.0,1
synametrics xeams,0.0,1
taxonomy path project taxonomy path,0.0,1
commerce balanced payments project commerce balanced payments,0.0,1
taxonomy tools project taxonomy tools,0.0,1
node access product project node access product,0.0,1
insite node basket,0.0,1
funnymonkey feature set,0.0,1
public download count project public download count,0.0,1
balanced commerce balanced payments,0.0,1
mcafee email gateway,0.0,1
rhodecode rhodecode enterprise,0.0,1
image metadata cruncher project image metadata cruncher,0.0,1
phpbb phpbb,0.0,1
cisco nexus 3548,0.0,1
microsoft office,0.0,1
oracle enterprise manager database control,0.0,1
tips and tricks hq all in one wordpress security and firewall,0.0,1
extplorer extplorer,0.0,1
bestwebsoft google captcha,0.0,1
maroyaka simple board project maroyaka simple board,0.0,1
maroyaka image album project maroyaka image album,0.0,1
maroyaka relay novel project maroyaka relay novel,0.0,1
openldap openldap,0.0,1
current search links project current search links,0.0,1
futomi mp form mail cgi,0.0,1
open graph importer project open graph importer,0.0,1
piwigo piwigo,0.0,1
infoblox netmri,0.0,1
acobot live chat %26 contact form project acobot live chat %26 contact form,0.0,1
free-counter free counter,0.0,1
"('LOCAL', 'LOW', 'NONE', 'PARTIAL', 'NONE')",5.6,0
microsoft word,0.0,1
bedita bedita,0.0,1
panasonic security api activex sdk,0.0,1
garrettcom magnum 6k firmware,0.0,1
schneider-electic sage 3030 magnum rtu,0.0,1
cacti cacti,0.0,1
decisions project decisions,0.0,1
medhabidotcom mdc private message,0.0,1
mass contact project mass contact,0.0,1
gns3 gns3,0.0,1
asus tm-1900,0.0,1
lemon-s php simple oekaki bbs,0.0,1
"('ADJACENT_NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",4.3,0
siemens ruggedcom rugged operating system,0.0,1
cgi rescue blobee,0.0,1
apple mac os,0.0,1
droidwareuk explorer%2b file manager,0.0,1
namshi namshi%2fjose,0.0,1
novell suse linux enterprise server,0.0,1
display suite project display suite,0.0,1
civicrm civicrm private report,0.0,1
user import project user import,0.0,1
node template project node template,0.0,1
keyword research project keyword research,0.0,1
hybridauth social login project hybridauth social login,0.0,1
libmspack project libmspack,0.0,1
ibm api management,0.0,1
ibm content collector,0.0,1
ibm spss statistics,0.0,1
jsp%2fmysql administrador web project jsp%2fmysql administrador web,0.0,1
