source,target,value
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",croogo croogo,4.3
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",phpkit phpkit,4.3
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",context project context,5.8
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",f5 big-ip application security manager,4.3
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'NONE')",services project services,5.0
"('NETWORK', 'MEDIUM', 'NONE', 'COMPLETE', 'COMPLETE')",microsoft windows media player,9.3
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'PARTIAL', 'PARTIAL')",insanevisions adaptcms,6.5
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",insanevisions adaptcms,4.3
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",refbase refbase,5.8
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",refbase refbase,4.3
"('NETWORK', 'LOW', 'NONE', 'NONE', 'PARTIAL')",refbase refbase,5.0
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",synametrics xeams,6.8
"('NETWORK', 'MEDIUM', 'SINGLE_INSTANCE', 'NONE', 'PARTIAL')",taxonomy path project taxonomy path,3.5
"('NETWORK', 'MEDIUM', 'SINGLE_INSTANCE', 'NONE', 'PARTIAL')",commerce balanced payments project commerce balanced payments,3.5
"('NETWORK', 'MEDIUM', 'SINGLE_INSTANCE', 'NONE', 'PARTIAL')",taxonomy tools project taxonomy tools,3.5
"('NETWORK', 'MEDIUM', 'SINGLE_INSTANCE', 'NONE', 'PARTIAL')",node access product project node access product,3.5
"('NETWORK', 'MEDIUM', 'SINGLE_INSTANCE', 'NONE', 'PARTIAL')",insite node basket,3.5
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",funnymonkey feature set,5.8
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",insite node basket,5.8
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",insite node basket,5.8
"('NETWORK', 'MEDIUM', 'SINGLE_INSTANCE', 'NONE', 'PARTIAL')",public download count project public download count,3.5
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",balanced commerce balanced payments,5.8
"('NETWORK', 'MEDIUM', 'SINGLE_INSTANCE', 'NONE', 'PARTIAL')",mcafee email gateway,3.5
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'PARTIAL', 'NONE')",mcafee data loss prevention endpoint,4.0
"('NETWORK', 'LOW', 'NONE', 'NONE', 'PARTIAL')",canonical ubuntu linux,5.0
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'PARTIAL', 'NONE')",rhodecode rhodecode enterprise,4.0
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",image metadata cruncher project image metadata cruncher,6.8
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'PARTIAL', 'PARTIAL')",mcafee data loss prevention endpoint,6.5
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'NONE')",adobe air,5.0
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",phpbb phpbb,4.3
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",phpbb phpbb,6.8
"('LOCAL', 'LOW', 'NONE', 'PARTIAL', 'NONE')",apple safari,2.1
"('NETWORK', 'MEDIUM', 'SINGLE_INSTANCE', 'NONE', 'PARTIAL')",mybb mybb,3.5
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'PARTIAL', 'PARTIAL')",hp matrix operating environment,6.5
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'NONE')",novell opensuse,5.0
"('NETWORK', 'LOW', 'NONE', 'NONE', 'NONE')",cisco nexus 3548,5.0
"('LOCAL', 'LOW', 'NONE', 'PARTIAL', 'NONE')",microsoft windows rt 8.1,2.1
"('NETWORK', 'MEDIUM', 'NONE', 'COMPLETE', 'COMPLETE')",microsoft office,9.3
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'PARTIAL', 'NONE')",oracle peoplesoft products,4.0
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'NONE')",oracle enterprise manager database control,5.0
"('NETWORK', 'MEDIUM', 'SINGLE_INSTANCE', 'PARTIAL', 'NONE')",oracle mysql,3.5
"('NETWORK', 'MEDIUM', 'SINGLE_INSTANCE', 'PARTIAL', 'PARTIAL')",tips and tricks hq all in one wordpress security and firewall,6.0
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",tips and tricks hq all in one wordpress security and firewall,6.8
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",extplorer extplorer,4.3
"('NETWORK', 'LOW', 'NONE', 'NONE', 'PARTIAL')",bestwebsoft google captcha,5.0
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",maroyaka simple board project maroyaka simple board,4.3
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",maroyaka image album project maroyaka image album,4.3
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",maroyaka relay novel project maroyaka relay novel,4.3
"('NETWORK', 'LOW', 'NONE', 'NONE', 'NONE')",openldap openldap,5.0
"('NETWORK', 'HIGH', 'NONE', 'NONE', 'PARTIAL')",current search links project current search links,2.6
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'PARTIAL')",futomi mp form mail cgi,7.5
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'NONE', 'PARTIAL')",open graph importer project open graph importer,4.0
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",cisco unified communications manager im and presence service,4.3
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",oracle fusion middleware,4.3
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",piwigo piwigo,4.3
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'PARTIAL', 'PARTIAL')",piwigo piwigo,6.5
"('NETWORK', 'LOW', 'NONE', 'COMPLETE', 'COMPLETE')",infoblox netmri,0.0
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",acobot live chat %26 contact form project acobot live chat %26 contact form,6.8
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",free-counter free counter,4.3
"('LOCAL', 'LOW', 'NONE', 'PARTIAL', 'NONE')",microsoft windows rt,5.6
"('NETWORK', 'MEDIUM', 'NONE', 'COMPLETE', 'COMPLETE')",microsoft word,9.3
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",bedita bedita,4.3
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'NONE')",moodle moodle,4.3
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",panasonic security api activex sdk,6.8
"('NETWORK', 'MEDIUM', 'SINGLE_INSTANCE', 'NONE', 'NONE')",garrettcom magnum 6k firmware,3.5
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'NONE')",garrettcom magnum 10k firmware,4.3
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'NONE')",schneider-electic sage 3030 magnum rtu,5.8
"('NETWORK', 'MEDIUM', 'SINGLE_INSTANCE', 'PARTIAL', 'NONE')",moodle moodle,3.5
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",cacti cacti,4.3
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",decisions project decisions,6.8
"('NETWORK', 'MEDIUM', 'SINGLE_INSTANCE', 'NONE', 'PARTIAL')",medhabidotcom mdc private message,3.5
"('NETWORK', 'HIGH', 'SINGLE_INSTANCE', 'NONE', 'PARTIAL')",mass contact project mass contact,2.1
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",moodle moodle,5.8
"('LOCAL', 'LOW', 'NONE', 'COMPLETE', 'COMPLETE')",fortinet forticlient,7.2
"('LOCAL', 'LOW', 'NONE', 'COMPLETE', 'COMPLETE')",gns3 gns3,7.2
"('LOCAL', 'LOW', 'NONE', 'PARTIAL', 'PARTIAL')",apple iphone os,4.6
"('LOCAL', 'MEDIUM', 'NONE', 'COMPLETE', 'COMPLETE')",linux linux kernel,6.9
"('NETWORK', 'MEDIUM', 'NONE', 'COMPLETE', 'COMPLETE')",asus tm-1900,9.3
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",lemon-s php simple oekaki bbs,4.3
"('ADJACENT_NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",siemens ruggedcom rugged operating system,4.3
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'PARTIAL')",cgi rescue blobee,7.5
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'NONE')",apple mac os,4.3
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",zohocorp manageengine netflow analyzer,4.3
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",zohocorp manageengine netflow analyzer,6.8
"('NETWORK', 'LOW', 'NONE', 'NONE', 'PARTIAL')",droidwareuk explorer%2b file manager,6.4
"('NETWORK', 'LOW', 'NONE', 'NONE', 'PARTIAL')",namshi namshi%2fjose,5.0
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'PARTIAL')",novell suse linux enterprise server,7.5
"('NETWORK', 'MEDIUM', 'SINGLE_INSTANCE', 'PARTIAL', 'PARTIAL')",services project services,6.0
"('NETWORK', 'MEDIUM', 'SINGLE_INSTANCE', 'NONE', 'PARTIAL')",display suite project display suite,3.5
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",civicrm civicrm private report,6.8
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",user import project user import,6.8
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",node template project node template,6.8
"('NETWORK', 'HIGH', 'NONE', 'PARTIAL', 'PARTIAL')",keyword research project keyword research,5.1
"('NETWORK', 'MEDIUM', 'SINGLE_INSTANCE', 'PARTIAL', 'NONE')",hybridauth social login project hybridauth social login,3.5
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",rubyonrails ruby on rails,4.3
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'NONE')",libmspack project libmspack,4.3
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",chaos tool suite project ctools,5.8
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",citrix netscaler gateway firmware,4.3
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'PARTIAL', 'PARTIAL')",ibm api management,5.5
"('LOCAL', 'LOW', 'NONE', 'PARTIAL', 'NONE')",ibm content collector,2.1
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",ibm spss statistics,6.8
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",jsp%2fmysql administrador web project jsp%2fmysql administrador web,6.8
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'PARTIAL')",hp keyview,7.5
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'PARTIAL')",sap afaria,7.5
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'NONE')",sap netweaver,5.0
"('NETWORK', 'LOW', 'NONE', 'NONE', 'PARTIAL')",sap clinical task tracker,6.4
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'PARTIAL', 'PARTIAL')",sap netweaver,6.5
"('NETWORK', 'LOW', 'NONE', 'NONE', 'PARTIAL')",sap netweaver enterprise portal,5.0
"('NETWORK', 'LOW', 'NONE', 'NONE', 'PARTIAL')",sap mobile platform,5.0
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'PARTIAL')",hancom hanword viewer 2007,7.5
"('NETWORK', 'LOW', 'NONE', 'NONE', 'NONE')",wireshark wireshark,5.0
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'PARTIAL')",adobe acrobat,7.5
"('NETWORK', 'LOW', 'NONE', 'NONE', 'NONE')",wireshark wireshark,7.8
"('NETWORK', 'LOW', 'NONE', 'NONE', 'NONE')",sap sql anywhere,5.0
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",fli4l fli4l,4.3
"('NETWORK', 'LOW', 'NONE', 'COMPLETE', 'NONE')",arcserve arcserve unified data protection,7.8
"('NETWORK', 'LOW', 'NONE', 'COMPLETE', 'NONE')",arcserve arcserve unified data protection,9.4
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",jsp%2fmysql administrador web project jsp%2fmysql administrador web,4.3
"('NETWORK', 'MEDIUM', 'SINGLE_INSTANCE', 'NONE', 'PARTIAL')",landing pages project landing pages,3.5
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'PARTIAL', 'PARTIAL')",landing pages project landing pages,6.5
"('NETWORK', 'LOW', 'NONE', 'COMPLETE', 'COMPLETE')",dell netvault backup,0.0
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'PARTIAL', 'PARTIAL')",gigpress gigpress,6.5
"('NETWORK', 'LOW', 'NONE', 'COMPLETE', 'COMPLETE')",wavelink connectpro,0.0
"('NETWORK', 'MEDIUM', 'SINGLE_INSTANCE', 'NONE', 'PARTIAL')",newstatpress project newstatpress,3.5
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'PARTIAL', 'PARTIAL')",newstatpress project newstatpress,6.5
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'PARTIAL', 'NONE')",hp version control repository manager,4.0
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'COMPLETE', 'NONE')",hp version control repository manager,6.8
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'PARTIAL')",piwigo piwigo,7.5
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'PARTIAL', 'PARTIAL')",hp version control repository manager,6.5
"('NETWORK', 'MEDIUM', 'NONE', 'COMPLETE', 'COMPLETE')",borland accurev,9.3
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'NONE')",apple apple tv,5.0
"('NETWORK', 'MEDIUM', 'SINGLE_INSTANCE', 'NONE', 'PARTIAL')",emc documentum taskspace,3.5
"('NETWORK', 'LOW', 'NONE', 'COMPLETE', 'NONE')",emc documentum thumbnail server,8.5
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",websitebaker websitebaker,4.3
"('NETWORK', 'LOW', 'NONE', 'NONE', 'PARTIAL')",novell opensuse,6.4
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",samsung ipolis device manager,6.8
"('NETWORK', 'LOW', 'NONE', 'COMPLETE', 'NONE')",adb p.dga4001n,9.4
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",arj software arj archiver,5.8
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",cs-cart cs-cart,6.8
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'COMPLETE', 'COMPLETE')",hp t5740e,9.0
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'PARTIAL', 'NONE')",oracle fusion middleware,4.0
"('LOCAL', 'LOW', 'NONE', 'NONE', 'NONE')",sun sunos,2.1
"('NETWORK', 'MEDIUM', 'SINGLE_INSTANCE', 'PARTIAL', 'PARTIAL')",oracle e-business suite,6.0
"('NETWORK', 'HIGH', 'SINGLE_INSTANCE', 'PARTIAL', 'PARTIAL')",oracle siebel crm,4.6
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",oracle retail applications xstore,6.8
"('NETWORK', 'MEDIUM', 'SINGLE_INSTANCE', 'NONE', 'PARTIAL')",arubanetworks clearpass policy manager,3.5
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'PARTIAL', 'PARTIAL')",atlassian hipchat,6.5
"('NETWORK', 'LOW', 'NONE', 'COMPLETE', 'COMPLETE')",impero impero education pro,0.0
"('NETWORK', 'LOW', 'NONE', 'COMPLETE', 'NONE')",bisonware bisonftp,7.8
"('NETWORK', 'LOW', 'NONE', 'COMPLETE', 'NONE')",konicaminolta ftp utility,7.8
"('LOCAL', 'LOW', 'NONE', 'NONE', 'NONE')",novell opensuse,2.1
"('ADJACENT_NETWORK', 'LOW', 'NONE', 'PARTIAL', 'NONE')",apple iphone os,3.3
"('ADJACENT_NETWORK', 'LOW', 'NONE', 'PARTIAL', 'PARTIAL')",apple mac os x,4.8
"('NETWORK', 'LOW', 'NONE', 'COMPLETE', 'COMPLETE')",oracle javafx,0.0
"('NETWORK', 'MEDIUM', 'SINGLE_INSTANCE', 'NONE', 'PARTIAL')",oracle mysql,3.5
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'NONE')",oracle jdk,5.0
"('NETWORK', 'HIGH', 'NONE', 'PARTIAL', 'PARTIAL')",structured dynamics open semantic framework,5.1
"('LOCAL', 'LOW', 'NONE', 'PARTIAL', 'PARTIAL')",ibm powervc,4.6
"('LOCAL', 'LOW', 'NONE', 'PARTIAL', 'NONE')",ibm maximo asset management,2.1
"('NETWORK', 'LOW', 'NONE', 'NONE', 'NONE')",ibm websphere mq light,7.8
"('LOCAL', 'LOW', 'NONE', 'PARTIAL', 'PARTIAL')",ibm tivoli directory server,4.6
"('NETWORK', 'LOW', 'NONE', 'COMPLETE', 'COMPLETE')",wavelink terminal emulation,0.0
"('LOCAL', 'LOW', 'NONE', 'PARTIAL', 'NONE')",mcafee threat intelligence exchange,2.1
"('NETWORK', 'MEDIUM', 'SINGLE_INSTANCE', 'NONE', 'PARTIAL')",debian debian linux,3.5
"('NETWORK', 'MEDIUM', 'SINGLE_INSTANCE', 'NONE', 'NONE')",cisco catalyst 6513-e,6.3
"('NETWORK', 'LOW', 'NONE', 'NONE', 'PARTIAL')",cisco telepresence tc software,5.0
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'NONE', 'PARTIAL')",cisco firesight system software,5.5
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'NONE')",cisco telepresence video communication server software,7.1
"('NETWORK', 'LOW', 'NONE', 'NONE', 'NONE')",cisco mds 9000 nx-os,5.0
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",cisco application and content networking system software,4.3
"('LOCAL', 'LOW', 'NONE', 'PARTIAL', 'NONE')",linux linux kernel,2.1
"('NETWORK', 'LOW', 'NONE', 'NONE', 'NONE')",cisco network convergence system 6008,5.0
"('NETWORK', 'LOW', 'NONE', 'COMPLETE', 'COMPLETE')",novell zenworks configuration management,0.0
"('NETWORK', 'MEDIUM', 'SINGLE_INSTANCE', 'NONE', 'PARTIAL')",bedita bedita,3.5
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",mantisbt mantisbt,5.8
"('ADJACENT_NETWORK', 'LOW', 'NONE', 'NONE', 'NONE')",vmware fusion,3.3
"('ADJACENT_NETWORK', 'LOW', 'NONE', 'NONE', 'NONE')",vmware workstation,3.3
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",siemens simatic s7 1200 cpu,4.3
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",siemens scalance x201-3p irt pro,6.8
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",microsoft internet explorer,6.8
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",yiiframework yiiframework,4.3
"('NETWORK', 'LOW', 'NONE', 'COMPLETE', 'COMPLETE')",proftpd proftpd,0.0
"('NETWORK', 'MEDIUM', 'SINGLE_INSTANCE', 'NONE', 'PARTIAL')",ajax timeline project ajax timeline,3.5
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",fibonacciorange wedeal,5.8
"('NETWORK', 'MEDIUM', 'SINGLE_INSTANCE', 'NONE', 'PARTIAL')",facebook album fetcher project facebook album fetcher,3.5
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'NONE')",path breadcrumbs project path breadcrumbs,5.0
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'NONE')",theforeman foreman,5.0
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'PARTIAL', 'NONE')",topline systems opportunity form,4.0
"('NETWORK', 'LOW', 'NONE', 'NONE', 'NONE')",mongodb mongodb,5.0
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'NONE')",haxx curl,5.0
"('LOCAL', 'LOW', 'NONE', 'PARTIAL', 'NONE')",siemens simatic step 7,2.1
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",adminsystems cms project adminsystems cms,4.3
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'NONE')",cisco ios,4.3
"('LOCAL', 'LOW', 'NONE', 'NONE', 'NONE')",cisco ios,4.9
"('LOCAL', 'LOW', 'SINGLE_INSTANCE', 'NONE', 'NONE')",cisco unified ip phone 9951,4.6
"('NETWORK', 'LOW', 'NONE', 'NONE', 'NONE')",cisco unified ip phone 9951,5.0
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'NONE')",cisco unified ip phone 9951,5.0
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'PARTIAL', 'PARTIAL')",qualiteam x-cart,6.5
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",jakweb gecko cms,4.3
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'PARTIAL', 'PARTIAL')",jakweb gecko cms,6.5
"('LOCAL', 'LOW', 'NONE', 'PARTIAL', 'NONE')",puppetlabs facter,2.1
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'PARTIAL')",elasticsearch elasticsearch,7.5
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",jakweb gecko cms,6.8
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'PARTIAL')",cisco telepresence tc software,6.4
"('NETWORK', 'LOW', 'NONE', 'NONE', 'NONE')",mediawiki mediawiki,5.0
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'PARTIAL')",sefrengo sefrengo,7.5
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",mediawiki mediawiki,4.3
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",widgets project widgets,4.3
"('NETWORK', 'LOW', 'NONE', 'NONE', 'NONE')",timedmediahandler project timedmediahandler,5.0
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",cisco unified intelligence center,6.8
"('NETWORK', 'LOW', 'NONE', 'NONE', 'NONE')",cisco asr 5000 series software,5.0
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'PARTIAL', 'PARTIAL')",cisco webex meetings server,6.5
"('LOCAL', 'LOW', 'NONE', 'NONE', 'NONE')",cisco nexus 93128tx,4.9
"('NETWORK', 'HIGH', 'NONE', 'PARTIAL', 'PARTIAL')",oracle jdk,4.0
"('NETWORK', 'MEDIUM', 'NONE', 'COMPLETE', 'COMPLETE')",siemens sicam mic,9.3
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'PARTIAL', 'NONE')",thecartpress thecartpress ecommerce shopping cart,4.0
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",ibm security qradar incident forensics,4.3
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'PARTIAL')",audiosharescript audioshare,7.5
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'PARTIAL')",oracle virtualization sun ray,7.5
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",audiosharescript audioshare,4.3
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",newphoria corporation auction camera,6.8
"('NETWORK', 'LOW', 'NONE', 'NONE', 'NONE')",ibm java,5.0
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",canon pixma mg7500 series inkjet printer,6.8
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",ntt-bp japan connected-free wi-fi,4.3
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",newphoria corporation 1.1,6.8
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",newphoria corporation reversi,6.8
"('NETWORK', 'MEDIUM', 'SINGLE_INSTANCE', 'NONE', 'NONE')",digium asterisk,3.5
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",epignosis efront,6.8
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'NONE')",chaos tool suite project ctools,4.3
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'PARTIAL')",webshophun webshop hun,7.5
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'COMPLETE', 'COMPLETE')",arubanetworks clearpass policy manager,9.0
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'PARTIAL', 'NONE')",arubanetworks clearpass policy manager,4.0
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",thecartpress thecartpress ecommerce shopping cart,4.3
"('NETWORK', 'MEDIUM', 'SINGLE_INSTANCE', 'NONE', 'PARTIAL')",profile2 privacy project profile2 privacy,3.5
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'NONE')",blue coat ssl visibility appliance sv2800,4.3
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",cfdbplugin contact form db,4.3
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",visualware myconnection server,4.3
"('LOCAL', 'LOW', 'NONE', 'PARTIAL', 'NONE')",xen xen,2.1
"('NETWORK', 'HIGH', 'NONE', 'NONE', 'PARTIAL')",debian debian linux,2.6
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'COMPLETE', 'COMPLETE')",d-link dcs-931l,9.0
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",d-link dcs-931l,6.8
"('NETWORK', 'LOW', 'NONE', 'NONE', 'NONE')",cisco asr 9922,5.0
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'NONE')",microsoft xml core services,4.3
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",elasticsearch kibana,4.3
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",apple iphone os,5.8
"('NETWORK', 'LOW', 'NONE', 'COMPLETE', 'COMPLETE')",sap hana extend application services,0.0
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",synology photo station,4.3
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",mailbird mailbird,4.3
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'COMPLETE', 'COMPLETE')",easyio easyio-30p-sf,9.0
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",synology diskstation manager,4.3
"('NETWORK', 'LOW', 'NONE', 'NONE', 'NONE')",invisionpower invision power board,7.8
"('NETWORK', 'MEDIUM', 'SINGLE_INSTANCE', 'NONE', 'PARTIAL')",invisionpower invision power board,3.5
